,actor_id,type,public_repos,public_gists,followers,following
749,3342974,User,6,0,1,0
750,3343358,User,19,2,75,10
751,3356461,User,17,6,5,4
752,3369346,User,30,2,18,30
753,3372342,User,0,0,301,0
754,3381789,User,61,14,90,762
755,3384302,User,95,54,28,0
756,3406152,User,18,0,11,20
757,3462566,User,32,10,838,0
758,3466879,User,33,1,21,2
759,3469390,User,44,1,1,0
760,3476361,User,4,1,10,2
761,3479021,User,72,8,200,5
762,3479820,User,43,8,67,33
763,3535749,User,100,0,8,6
764,3587066,User,2,0,0,4
765,3605364,User,57,1,998,8
766,3613359,User,34,2,53,0
767,3627835,User,251,4,457,530
768,3628148,User,51,21,18,2
769,3658582,User,89,1,11,9
770,3659962,User,6,0,9,3
771,3661115,User,201,2,165,213
772,3668166,User,16,0,2,1
773,3674314,User,48,20,208,96
774,3684697,User,43,146,82,0
775,3717838,User,42,4,18,0
776,3750083,User,110,19,50,28
777,3750649,User,24,1,18,3
778,3752618,User,20,1,9,7
779,3768583,User,22,40,264,0
780,3802472,User,57,13,30,30
781,3812162,User,69,23,39,51
782,3825628,User,66,0,16,0
783,3842474,User,3,1,700,631
784,3860311,User,30,2,39,24
785,3889017,User,99,4,76,39
786,3889375,User,58,66,107,81
787,3903059,User,17,3,24,1
788,3932645,User,10,0,3,1
789,3933920,User,3,0,3,0
790,3939893,User,57,1,15,9
791,3943692,User,59,4,459,0
792,3943761,User,212,2,116,269
793,3969199,User,22,0,5,6
794,3981619,User,33,7,25,14
795,3989526,User,29,6,32,0
796,3989899,User,6,2,4,1
797,4013349,User,87,2,11,4
798,4025227,User,34,2,918,47
799,4038041,User,15,0,92,129
800,4044428,User,5,12,20,3
801,4051126,User,19,8,59,2
802,4058194,User,18,0,6,1
803,4069793,User,59,13,19,0
804,4081020,User,10,4,3,0
805,4091874,User,24,1,6,0
806,4116963,User,68,5,190,18
807,4163165,User,115,0,8,10
808,4167300,User,38,0,13,16
809,4175141,User,70,145,879,0
810,4179064,User,319,10,30,13
811,4194287,User,91,0,78,52
812,4225775,User,6,0,0,0
813,4226954,User,4,0,12308,0
814,4252738,User,14,2,6,4
815,4292184,User,89,0,15,0
816,4297274,User,16,1,31,22
817,4299420,User,97,31,5044,62
818,4325382,User,51,0,7,0
819,4329072,User,56,2,133,45
820,4344846,User,9,1,21,2
821,4364279,User,0,0,1,1
822,4370504,User,50,13,70,20
823,4377348,User,68,5,33,13
824,4387571,User,8,2,3,0
825,4400408,User,74,12,36,61
826,4402304,User,41,2,50,4
827,4403806,User,84,2,130,1
828,4449673,User,24,4,0,0
829,4459874,User,38,6,22,10
830,4461026,User,13,1,11,1
831,4465723,User,68,5,17,9
832,4466899,User,136,35,4783,160
833,4508773,User,21,5,41,22
834,4583460,User,33,0,14,10
835,4591597,User,81,11,190,54
836,4594088,User,1,0,13,0
837,4605817,User,136,11,24,3
838,4624411,User,138,36,186,38
839,4656348,User,72,1,22,7
840,4659919,User,33,2,66,15
841,4701338,User,189,10,824,40
842,4701449,User,29,0,6,7
